"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8669","Validate user is able to view after login","","Thu Feb 13 13:48:04 CST 2025","passed","Thu Feb 13 13:48:13 CST 2025","","Logged In user view","Validate user is able to view after login",""
"","8324","Validate user is able to view after login","","Thu Feb 13 13:48:04 CST 2025","passed","Thu Feb 13 13:48:13 CST 2025","","Logged In user view","Validate user is able to view after login",""
